Timestamps,Wind Speed(kmph),Temperature(Â°C),Cloud(%)
2023-07-29 00:00:00,7.2,17.1,88
2023-07-29 01:00:00,6.8,16.9,23
2023-07-29 02:00:00,6.8,16.7,19
2023-07-29 03:00:00,6.5,16.5,18
2023-07-29 04:00:00,7.6,16.2,20
2023-07-29 05:00:00,7.2,16.2,61
2023-07-29 06:00:00,5.4,17.4,37
2023-07-29 07:00:00,9.0,18.8,56
2023-07-29 08:00:00,11.5,19.7,53
2023-07-29 09:00:00,13.7,21.1,94
2023-07-29 10:00:00,17.6,22.2,100
2023-07-29 11:00:00,18.4,22.9,100
2023-07-29 12:00:00,20.5,22.6,100
2023-07-29 13:00:00,20.2,22.1,100
2023-07-29 14:00:00,19.8,23.1,61
2023-07-29 15:00:00,21.6,24.6,83
2023-07-29 16:00:00,17.6,25.0,74
2023-07-29 17:00:00,13.3,25.5,44
2023-07-29 18:00:00,13.0,25.0,34
2023-07-29 19:00:00,11.9,23.4,54
2023-07-29 20:00:00,13.3,20.2,73
2023-07-29 21:00:00,13.0,18.5,75
2023-07-29 22:00:00,10.4,17.8,82
2023-07-29 23:00:00,10.1,17.1,79
2023-07-30 00:00:00,11.2,16.6,74
2023-07-30 01:00:00,11.5,16.3,86
2023-07-30 02:00:00,10.4,15.9,28
2023-07-30 03:00:00,10.8,15.6,33
2023-07-30 04:00:00,9.7,15.4,33
2023-07-30 05:00:00,9.7,15.5,26
2023-07-30 06:00:00,12.2,16.3,15
2023-07-30 07:00:00,14.0,17.7,12
2023-07-30 08:00:00,14.4,19.1,10
2023-07-30 09:00:00,15.8,20.6,49
2023-07-30 10:00:00,17.6,22.4,80
2023-07-30 11:00:00,18.4,23.7,63
2023-07-30 12:00:00,19.8,24.6,48
2023-07-30 13:00:00,20.9,24.7,36
2023-07-30 14:00:00,23.0,25.1,28
2023-07-30 15:00:00,25.6,24.6,36
2023-07-30 16:00:00,23.4,24.4,24
2023-07-30 17:00:00,20.9,24.2,23
2023-07-30 18:00:00,20.9,23.3,30
2023-07-30 19:00:00,18.4,21.5,21
2023-07-30 20:00:00,16.9,19.9,16
2023-07-30 21:00:00,14.4,18.6,25
2023-07-30 22:00:00,11.2,18.0,32
2023-07-30 23:00:00,14.0,17.4,23
2023-07-31 00:00:00,12.6,16.8,30
2023-07-31 01:00:00,12.2,16.7,84
2023-07-31 02:00:00,13.7,16.8,93
2023-07-31 03:00:00,19.1,16.1,100
2023-07-31 04:00:00,19.8,15.2,100
2023-07-31 05:00:00,20.9,15.3,100
2023-07-31 06:00:00,22.7,15.4,100
2023-07-31 07:00:00,22.3,15.8,100
2023-07-31 08:00:00,21.6,15.9,100
2023-07-31 09:00:00,23.8,16.8,100
2023-07-31 10:00:00,25.9,17.2,85
2023-07-31 11:00:00,24.5,18.1,100
2023-07-31 12:00:00,24.5,19.1,100
2023-07-31 13:00:00,28.1,21.8,100
2023-07-31 14:00:00,25.2,19.7,100
2023-07-31 15:00:00,21.6,19.0,70
2023-07-31 16:00:00,22.3,18.6,62
2023-07-31 17:00:00,22.7,19.4,81
2023-07-31 18:00:00,17.6,18.3,99
2023-07-31 19:00:00,16.9,18.2,100
2023-07-31 20:00:00,18.4,17.0,100
2023-07-31 21:00:00,15.5,17.0,88
2023-07-31 22:00:00,14.4,16.8,100
2023-07-31 23:00:00,16.2,16.7,100
